Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Max PSI East,Avg PSI East
2015,47,Changi,36.0,36.0,36.0,9.8,0.0,1.657142857142857,6.8,6.8,6.8,27.842857142857145,32.9,23.7,6.785714285714287,33.5,,
2015,48,Changi,38.0,38.0,38.0,24.0,0.0,4.571428571428571,13.2,18.0,22.8,27.82857142857143,33.6,24.2,6.957142857142857,32.4,,
2015,49,Changi,71.0,63.5,56.0,28.8,0.0,9.257142857142858,22.2,26.2,28.6,27.87142857142857,33.0,23.2,7.028571428571429,35.6,,
2015,50,Changi,,,,40.4,0.0,17.914285714285715,18.0,26.0,39.2,27.37142857142857,32.7,22.5,6.842857142857143,41.8,,
2015,51,Changi,56.0,56.0,56.0,8.2,0.0,1.257142857142857,7.8,8.2,8.2,27.942857142857147,33.1,23.9,8.228571428571428,43.6,,
2015,52,Changi,56.0,56.0,56.0,40.2,0.0,10.085714285714287,24.6,31.6,39.0,27.942857142857147,32.9,22.8,8.328571428571427,38.2,,
2015,53,Changi,93.0,71.0,49.0,39.0,0.0,14.55,21.0,23.0,24.4,27.275,32.5,23.8,10.45,42.8,,
2016,1,Changi,86.0,75.5,65.0,39.6,0.0,6.0,18.4,31.0,38.4,27.82,32.4,22.9,10.18,58.7,,
2016,2,Changi,121.0,106.0,91.0,33.4,0.0,7.3428571428571425,24.6,29.4,31.4,28.4,32.8,23.8,8.971428571428572,33.5,,
2016,3,Changi,129.0,120.0,111.0,2.6,0.0,0.857142857142857,2.6,2.6,2.6,28.52857142857143,32.5,25.8,10.028571428571428,46.1,,
2016,4,Changi,116.0,113.0,110.0,6.0,0.0,1.3714285714285714,2.4,2.4,2.8,28.614285714285717,32.8,25.0,11.614285714285714,64.8,,
2016,5,Changi,99.0,85.0,71.0,26.4,0.0,5.571428571428571,7.2,9.6,10.0,28.185714285714283,32.7,24.9,11.685714285714285,45.7,47.0,47.0
2016,6,Changi,65.0,59.0,53.0,1.2,0.0,0.31428571428571433,1.2,1.2,1.2,27.628571428571423,32.1,24.2,10.542857142857144,41.8,64.0,47.49629629629629
2016,7,Changi,68.0,66.0,64.0,70.4,0.0,10.428571428571429,17.0,21.2,23.2,27.54285714285714,32.4,23.8,11.514285714285714,42.8,58.0,50.58333333333334
2016,8,Changi,66.0,64.5,63.0,71.8,0.0,10.257142857142854,24.4,44.6,55.4,27.857142857142854,31.9,23.3,12.342857142857143,45.4,57.0,53.708661417322844
2016,9,Changi,54.0,52.0,50.0,0.4,0.0,0.05714285714285715,0.2,0.4,0.4,28.57142857142857,32.7,26.1,13.571428571428573,44.6,55.0,51.06730769230769
2016,10,Changi,51.0,49.5,48.0,2.4,0.0,0.6571428571428571,2.4,2.4,2.4,28.92857142857143,33.8,26.0,10.6,34.9,53.0,48.40151515151515
2016,11,Changi,81.0,65.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,28.985714285714288,33.8,25.4,11.214285714285717,35.6,59.0,55.21875
2016,12,Changi,59.0,58.0,57.0,1.0,0.0,0.17142857142857146,1.0,1.0,1.0,29.12857142857143,34.1,25.7,10.528571428571428,41.8,67.0,59.27564102564103
2016,13,Changi,62.0,58.0,54.0,7.6,0.0,1.0857142857142856,7.6,7.6,7.6,29.442857142857147,34.4,26.0,13.22857142857143,40.3,75.0,62.55483870967742
2016,14,Changi,70.0,62.0,54.0,6.2,0.0,1.0571428571428572,4.2,5.0,6.0,29.3,35.0,25.9,9.271428571428572,35.6,57.0,53.706896551724135
2016,15,Changi,53.0,48.0,43.0,9.6,0.0,3.4,9.4,9.4,9.4,29.657142857142862,34.5,25.6,7.571428571428571,45.0,68.0,58.47692307692307
2016,16,Changi,22.0,21.0,20.0,13.8,0.0,2.0571428571428574,12.2,12.2,12.4,29.9,34.8,25.9,9.4,45.7,71.0,58.6793893129771
2016,17,Changi,48.0,33.5,19.0,18.2,0.0,5.228571428571428,12.2,14.2,14.2,28.942857142857147,33.8,25.3,6.385714285714285,34.2,75.0,58.562091503267965
2016,18,Changi,47.0,40.0,33.0,0.6,0.0,0.08571428571428573,0.6,0.6,0.6,29.842857142857145,34.6,27.0,8.085714285714285,39.6,62.0,48.759493670886066
2016,19,Changi,30.0,27.5,25.0,16.4,0.0,3.6,10.6,11.0,15.8,29.285714285714285,34.5,25.1,6.942857142857143,46.8,61.0,50.29813664596274
2016,20,Changi,31.0,30.0,29.0,54.8,0.0,17.914285714285715,40.8,42.0,53.6,28.771428571428572,34.3,24.6,7.042857142857143,53.6,64.0,50.95625
2016,21,Changi,19.0,18.5,18.0,29.8,0.0,4.514285714285714,20.2,21.2,29.8,29.47142857142857,33.2,23.9,8.071428571428571,47.2,52.0,43.022900763358784
2016,22,Changi,13.0,11.0,9.0,11.0,0.0,2.2285714285714286,8.6,9.0,10.0,28.24285714285714,32.5,25.0,6.485714285714287,45.4,66.0,56.02083333333334
2016,23,Changi,17.0,12.5,8.0,16.2,0.0,2.9428571428571426,11.2,14.4,15.8,28.785714285714285,32.7,25.1,6.928571428571429,43.2,66.0,51.801282051282044
2016,24,Changi,14.0,13.5,13.0,34.6,0.0,9.6,25.2,33.8,34.6,27.87142857142857,32.1,24.2,6.042857142857143,44.6,58.0,44.611464968152866
2016,25,Changi,23.0,19.5,16.0,67.8,0.0,10.114285714285714,43.8,52.4,56.8,28.428571428571423,32.9,22.5,7.414285714285714,50.8,58.0,47.29411764705882
2016,26,Changi,32.0,28.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,29.785714285714285,33.4,27.0,10.585714285714284,33.5,55.0,48.09933774834436
2016,27,Changi,20.0,19.5,19.0,4.4,0.0,0.9142857142857144,4.4,4.4,4.4,29.62857142857143,33.2,24.3,10.657142857142855,38.5,52.0,43.295597484276726
2016,28,Changi,22.0,20.0,18.0,1.6,0.0,0.8285714285714285,1.6,1.6,1.6,28.17142857142857,33.4,25.1,6.485714285714287,44.6,57.0,45.185185185185176
2016,29,Changi,37.0,30.5,24.0,59.4,0.4,21.428571428571434,33.6,39.8,53.8,27.142857142857146,33.3,22.5,6.542857142857144,38.2,63.0,50.12820512820514
2016,30,Changi,54.0,50.0,46.0,4.0,0.0,0.9142857142857144,3.4,4.0,4.0,28.02857142857143,31.9,24.2,6.685714285714285,52.6,55.0,47.99285714285714
