,Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,avg_daily_rainfall_total,highest_60_min_rainfall,mean_temperature,range_temperature,mean_wind_speed,historical_cases_week
272,2019,24,Changi,73,73.0,73,2.6928571428571435,7.55,29.21785714285714,9.325,7.792857142857143,74.33333333333333
273,2019,25,Changi,86,86.0,86,3.4428571428571435,9.45,28.785714285714285,8.475000000000001,8.107142857142858,71.83333333333333
274,2019,26,Changi,147,147.0,147,3.7142857142857135,12.5,28.767857142857146,8.25,8.696428571428571,70.83333333333333
275,2019,27,Changi,166,153.0,140,5.721428571428572,17.85,28.45,8.675,8.499999999999998,76.83333333333333
276,2019,28,Changi,176,176.0,176,5.721428571428572,18.85,28.417857142857148,8.875,9.092857142857143,102.0
277,2019,29,Changi,207,207.0,207,3.8428571428571434,14.25,28.800000000000004,8.375,10.221428571428572,128.66666666666666
278,2019,30,Changi,156,156.0,156,2.9785714285714286,11.3,28.825,8.05,11.157142857142857,158.66666666666666
279,2019,31,Changi,157,157.0,157,0.85,4.949999999999998,29.02857142857143,7.975000000000001,12.557142857142859,178.66666666666663
280,2019,32,Changi,123,123.0,123,0.4357142857142857,2.25,28.975,8.025000000000002,12.400000000000002,179.66666666666663
281,2019,33,Changi,117,117.0,117,0.4214285714285714,2.2,29.021428571428572,8.100000000000001,13.053571428571429,173.33333333333337
282,2019,35,Changi,88,88.0,88,0.4071428571428571,1.9,29.24642857142857,6.824999999999998,14.528571428571427,132.33333333333334
283,2019,36,Changi,59,59.0,59,0.2785714285714286,1.5,29.385714285714286,6.699999999999998,15.635714285714286,80.0
284,2019,37,Changi,52,52.0,52,0.4214285714285714,1.9,29.089285714285715,7.2,14.939285714285715,68.33333333333333
285,2019,38,Changi,60,60.0,60,0.2785714285714286,1.35,29.15357142857143,8.05,14.939285714285715,49.0
286,2019,39,Changi,66,66.0,66,0.2785714285714286,1.35,29.057142857142857,8.225,14.367857142857144,66.33333333333333
287,2019,40,Changi,38,38.0,38,0.14285714285714285,0.4,29.03571428571429,8.024999999999999,14.414285714285715,57.0
288,2019,41,Changi,32,32.0,32,0.7642857142857141,3.6,29.082142857142863,8.7,13.678571428571427,59.33333333333334
289,2019,42,Changi,48,48.0,48,1.3357142857142854,5.5,28.639285714285716,9.175,11.907142857142857,54.66666666666666
290,2019,43,Changi,69,69.0,69,1.7857142857142854,7.65,28.42142857142857,10.025,10.39642857142857,45.33333333333334
291,2019,44,Changi,59,59.0,59,2.071428571428571,8.35,28.32857142857143,10.249999999999998,8.617857142857144,39.333333333333336
292,2019,45,Changi,38,38.0,38,5.821428571428571,22.2,28.160714285714285,9.949999999999998,7.989285714285716,49.66666666666666
293,2019,46,Changi,48,48.0,48,6.321428571428571,23.95,28.267857142857146,9.824999999999998,7.4071428571428575,58.66666666666666
294,2019,47,Changi,66,66.0,66,6.064285714285713,22.75,28.37857142857143,9.7,7.185714285714287,55.33333333333334
295,2019,48,Changi,52,52.0,52,5.821428571428571,22.35,28.267857142857146,10.025,6.75,48.33333333333334
296,2019,49,Changi,34,34.0,34,2.107142857142857,8.95,28.07142857142857,9.925,6.882142857142856,50.66666666666666
297,2019,50,Changi,26,26.0,26,4.378571428571429,17.5,27.975,9.55,7.064285714285713,55.33333333333334
298,2019,51,Changi,33,33.0,33,6.428571428571429,28.35,27.65,9.125,8.303571428571429,50.66666666666666
299,2019,52,Changi,17,17.0,17,17.235714285714288,34.6,26.771428571428572,8.8,8.432142857142857,37.333333333333336
0,2014,1,Khatib,20,20.0,20,,,,,,
1,2014,2,Khatib,35,25.0,15,,,,,,
2,2014,3,Khatib,41,37.5,34,,,,,,
3,2014,4,Khatib,40,33.0,26,,,,,,
4,2014,5,Khatib,27,23.33333333333333,19,,,,,,
5,2014,6,Khatib,32,26.75,22,4.441428571428571,10.5,26.382857142857148,8.375000000000002,6.4471428571428575,31.83333333333333
6,2014,7,Khatib,16,11.0,7,3.1714285714285717,6.1,26.28214285714286,8.975000000000003,6.982142857142858,31.277777777777768
7,2014,8,Khatib,14,10.333333333333334,7,1.442857142857143,10.05,26.339285714285715,9.500000000000002,7.317857142857143,27.694444444444446
8,2014,9,Khatib,10,7.333333333333332,6,1.4500000000000002,10.1,26.728571428571428,10.55,7.257142857142857,20.36111111111111
9,2014,10,Khatib,5,3.5,2,1.4500000000000002,10.1,27.225,10.85,7.575000000000001,16.02777777777778
10,2014,11,Khatib,7,5.333333333333333,3,1.4500000000000002,10.1,27.567857142857147,10.724999999999998,7.7142857142857135,9.555555555555557
11,2014,12,Khatib,7,5.0,3,0.0071428571428571435,0.05,27.885714285714286,10.9,7.978571428571429,7.0555555555555545
12,2014,13,Khatib,10,8.666666666666666,7,0.9285714285714284,1.75,27.95357142857143,10.7,8.028571428571428,5.3888888888888875
13,2014,14,Khatib,9,6.0,3,6.6119047619047615,12.05,27.617857142857147,10.825,7.0636904761904775,4.611111111111111
14,2014,15,Khatib,2,2.0,2,7.819047619047617,19.75,27.85238095238095,10.85,6.6136904761904765,6.333333333333332
15,2014,16,Khatib,3,1.5,0,8.483333333333333,22.05,27.909523809523808,10.475,5.952976190476191,6.5555555555555545
16,2014,17,Khatib,0,0.0,0,8.94047619047619,25.25,27.784523809523808,10.725,5.052976190476191,5.5555555555555545
17,2014,18,Khatib,0,0.0,0,4.521428571428571,17.8,28.055952380952387,11.275,4.789285714285715,3.1666666666666665
18,2014,19,Khatib,4,3.5,3,3.746428571428572,11.05,27.728571428571428,11.450000000000005,4.110714285714286,1.1666666666666667
19,2014,20,Khatib,4,4.0,4,3.946428571428572,12.5,27.70357142857143,11.425,3.925,0.5
20,2014,21,Khatib,2,1.0,0,5.725,15.6,27.8,11.275,3.885714285714286,1.1666666666666667
21,2014,22,Khatib,2,1.0,0,5.567857142857141,15.15,27.78928571428571,10.875,3.95,2.5
22,2014,23,Khatib,4,3.0,2,7.478571428571428,22.9,27.810714285714283,11.000000000000005,4.014285714285714,2.833333333333333
23,2014,24,Khatib,9,5.0,1,8.528571428571428,25.5,27.72142857142857,10.650000000000002,4.053571428571429,2.0
24,2014,25,Khatib,6,5.5,5,8.392857142857142,24.3,27.6,10.325000000000003,4.046428571428572,1.6666666666666667
25,2014,26,Khatib,14,9.0,4,8.307142857142857,25.35,27.857142857142858,10.625,4.146428571428571,3.0
26,2014,27,Khatib,84,54.5,25,6.614285714285715,19.35,28.364285714285717,10.525,4.453571428571427,4.5
27,2014,28,Khatib,197,149.5,102,5.364285714285715,14.85,28.417857142857148,11.025000000000002,4.546428571428573,6.5
28,2014,29,Khatib,323,298.5,274,3.5,12.45,28.378571428571423,11.1,4.617857142857143,23.0
29,2014,30,Khatib,247,245.5,244,6.942857142857143,21.35,28.08214285714286,11.075,4.675,71.0
30,2014,31,Khatib,123,121.5,120,6.621428571428571,20.95,27.87857142857143,11.1,4.546428571428572,167.5
31,2014,32,Khatib,71,58.5,46,6.5357142857142865,23.1,28.142857142857142,11.125000000000002,4.867857142857141,231.16666666666663
32,2014,33,Khatib,40,38.5,37,7.385714285714287,25.55,28.13214285714286,11.05,4.996428571428571,221.83333333333331
33,2014,34,Khatib,53,48.5,44,4.257142857142858,16.349999999999998,28.132142857142853,10.525000000000002,5.135714285714286,141.83333333333334
34,2014,35,Khatib,58,52.5,47,5.9642857142857135,25.3,27.582142857142852,9.85,4.95,72.83333333333333
