Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tuas South,2014,8,12,8.2,4.2,4.8,5.8,27.2,29.4,23.9,5.7,32.0
Tuas South,2014,8,13,0.6,0.6,0.6,0.6,27.0,28.1,24.9,7.5,25.9
Tuas South,2014,8,14,1.0,0.8,1.0,1.0,27.7,29.4,26.6,7.9,25.2
Tuas South,2014,8,15,45.4,18.0,23.2,23.4,26.5,27.5,24.1,5.6,36.0
Tuas South,2014,8,16,0.0,0.0,0.0,0.0,28.5,31.5,26.5,5.0,24.8
Tuas South,2014,8,17,0.0,0.0,0.0,0.0,28.9,31.6,27.2,5.3,23.4
Tuas South,2014,8,18,0.0,0.0,0.0,0.0,29.1,32.2,27.4,6.1,32.0
Tuas South,2014,8,19,0.6,0.4,0.4,0.6,28.2,31.7,25.2,5.6,28.1
Tuas South,2014,8,20,0.0,0.0,0.0,0.0,28.7,32.5,26.5,6.4,31.0
Tuas South,2014,8,21,0.0,0.0,0.0,0.0,27.9,31.2,25.5,5.5,38.2
Tuas South,2014,8,22,0.0,0.0,0.0,0.0,29.1,32.7,26.4,3.8,22.7
Tuas South,2014,8,23,6.0,3.6,5.2,6.0,28.2,31.9,26.5,5.1,28.4
Tuas South,2014,8,24,0.2,0.2,0.2,0.2,27.7,30.3,25.8,4.9,19.8
Tuas South,2014,8,25,0.4,0.2,0.2,0.4,27.2,30.5,25.9,4.8,37.4
Tuas South,2014,8,26,0.4,0.2,0.2,0.4,27.3,29.9,25.2,5.5,23.0
Tuas South,2014,8,27,18.2,10.2,11.4,13.8,26.8,28.7,23.7,9.0,50.0
Tuas South,2014,8,28,8.0,2.6,4.4,6.4,27.0,28.8,23.8,6.0,53.3
Tuas South,2014,8,29,0.0,0.0,0.0,0.0,27.7,30.8,25.4,7.0,23.0
Tuas South,2014,8,30,0.0,0.0,0.0,0.0,28.2,32.2,25.4,3.9,21.6
Tuas South,2014,8,31,0.0,0.0,0.0,0.0,28.8,31.7,27.2,4.2,25.2
Tuas South,2014,9,1,0.0,0.0,0.0,0.0,29.6,33.2,26.6,5.3,22.0
Tuas South,2014,9,2,0.0,0.0,0.0,0.0,29.3,32.7,26.6,6.2,31.0
Tuas South,2014,9,3,4.6,3.0,3.6,4.6,26.9,31.7,23.5,3.8,34.6
Tuas South,2014,9,4,0.0,0.0,0.0,0.0,28.1,31.4,24.9,5.5,17.6
Tuas South,2014,9,5,0.2,0.2,0.2,0.2,27.8,29.7,24.2,8.6,49.0
Tuas South,2014,9,6,0.0,0.0,0.0,0.0,27.8,29.2,24.7,12.4,41.8
Tuas South,2014,9,7,0.0,0.0,0.0,0.0,28.7,31.6,26.2,4.6,18.0
Tuas South,2014,9,8,0.0,0.0,0.0,0.0,29.2,32.4,26.7,4.9,18.7
Tuas South,2014,9,9,0.8,0.8,0.8,0.8,28.7,31.1,26.7,6.1,35.3
Tuas South,2014,9,10,0.0,0.0,0.0,0.0,29.1,32.2,27.1,7.2,40.3
Tuas South,2014,9,11,32.8,25.4,30.2,32.6,27.4,31.9,22.9,5.2,42.1
Tuas South,2014,9,12,0.0,0.0,0.0,0.0,28.6,32.3,25.1,5.9,24.5
Tuas South,2014,9,13,0.0,0.0,0.0,0.0,29.3,32.0,27.6,7.0,29.2
Tuas South,2014,9,14,0.0,0.0,0.0,0.0,29.3,31.0,27.5,7.3,26.3
Tuas South,2014,9,15,0.0,0.0,0.0,0.0,29.4,32.6,27.1,8.0,29.9
Tuas South,2014,9,16,0.0,0.0,0.0,0.0,29.6,32.5,27.7,5.8,24.1
Tuas South,2014,9,17,0.0,0.0,0.0,0.0,29.6,32.4,27.8,4.7,69.5
Tuas South,2014,9,18,0.0,0.0,0.0,0.0,29.5,32.5,28.0,4.9,24.1
Tuas South,2014,9,19,13.6,7.6,7.8,12.6,28.3,32.9,25.4,4.3,35.3
Tuas South,2014,9,20,4.6,2.0,2.4,2.6,27.4,31.0,25.2,6.6,24.8
Tuas South,2014,9,21,2.2,0.6,1.0,1.8,28.4,30.9,25.8,8.6,22.7
Tuas South,2014,9,22,0.0,0.0,0.0,0.0,29.4,33.0,26.5,5.5,24.1
Tuas South,2014,9,23,0.0,0.0,0.0,0.0,29.6,32.8,27.5,5.8,28.1
Tuas South,2014,9,24,15.8,9.8,10.2,10.2,28.8,32.8,25.0,5.5,28.8
Tuas South,2014,9,25,6.2,1.8,3.0,4.0,27.3,29.9,24.6,5.4,22.3
