Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks
2016,13,Khatib,16,16.0,16
2016,13,Tuas South,2,1.5,1
2016,13,Marina Barrage,43,37.5,32
2016,14,Changi,70,62.0,54
2016,14,Ang Mo Kio,112,105.0,98
2016,14,Khatib,26,20.0,14
2016,14,Tuas South,10,6.0,2
2016,14,Marina Barrage,41,40.5,40
2016,15,Changi,53,48.0,43
2016,15,Ang Mo Kio,68,67.0,66
2016,15,Khatib,19,16.5,14
2016,15,Tuas South,9,7.5,6
2016,15,Marina Barrage,41,38.0,35
2016,16,Changi,22,21.0,20
2016,16,Ang Mo Kio,58,57.5,57
2016,16,Khatib,20,17.0,14
2016,16,Tuas South,2,1.0,0
2016,16,Marina Barrage,31,30.0,29
2016,17,Changi,48,33.5,19
2016,17,Ang Mo Kio,64,59.5,55
2016,17,Khatib,19,18.5,18
2016,17,Tuas South,2,1.0,0
2016,17,Marina Barrage,36,30.0,24
2016,18,Changi,47,40.0,33
2016,18,Ang Mo Kio,52,49.5,47
2016,18,Khatib,11,11.0,11
2016,18,Tuas South,0,0.0,0
2016,18,Marina Barrage,48,42.0,36
2016,19,Changi,30,27.5,25
2016,19,Ang Mo Kio,35,31.0,27
2016,19,Khatib,23,17.5,12
2016,19,Tuas South,3,2.5,2
2016,19,Marina Barrage,38,36.5,35
2016,20,Changi,31,30.0,29
2016,20,Ang Mo Kio,52,47.0,42
2016,20,Khatib,49,36.5,24
2016,20,Tuas South,1,0.5,0
2016,20,Marina Barrage,46,40.0,34
2016,21,Changi,19,18.5,18
2016,21,Ang Mo Kio,33,32.5,32
2016,21,Khatib,40,37.5,35
2016,21,Tuas South,2,1.0,0
2016,21,Marina Barrage,37,31.5,26
2016,22,Changi,13,11.0,9
2016,22,Ang Mo Kio,32,29.5,27
2016,22,Khatib,44,38.5,33
2016,22,Tuas South,2,1.5,1
2016,22,Marina Barrage,36,28.5,21
2016,23,Changi,17,12.5,8
2016,23,Ang Mo Kio,35,29.0,23
2016,23,Khatib,40,37.0,34
2016,23,Tuas South,0,0.0,0
2016,23,Marina Barrage,25,24.5,24
2016,24,Changi,14,13.5,13
2016,24,Ang Mo Kio,32,29.5,27
2016,24,Khatib,30,29.0,28
2016,24,Tuas South,2,2.0,2
2016,24,Marina Barrage,22,21.5,21
2016,25,Changi,23,19.5,16
2016,25,Ang Mo Kio,22,19.5,17
2016,25,Khatib,25,22.0,19
2016,25,Tuas South,2,1.0,0
2016,25,Marina Barrage,45,33.5,22
2016,26,Changi,32,28.0,24
2016,26,Ang Mo Kio,35,34.0,33
2016,26,Khatib,26,24.0,22
2016,26,Tuas South,0,0.0,0
2016,26,Marina Barrage,51,48.5,46
2016,27,Changi,20,19.5,19
2016,27,Ang Mo Kio,41,36.5,32
2016,27,Khatib,26,25.0,24
2016,27,Tuas South,0,0.0,0
2016,27,Marina Barrage,66,53.0,40
2016,28,Changi,22,20.0,18
2016,28,Ang Mo Kio,47,47.0,47
2016,28,Khatib,36,31.5,27
2016,28,Tuas South,0,0.0,0
2016,28,Marina Barrage,80,73.0,66
2016,29,Changi,37,30.5,24
2016,29,Ang Mo Kio,34,29.5,25
2016,29,Khatib,24,21.0,18
2016,29,Tuas South,0,0.0,0
2016,29,Marina Barrage,43,40.5,38
2016,30,Changi,54,50.0,46
2016,30,Ang Mo Kio,48,40.0,32
2016,30,Khatib,27,21.0,15
2016,30,Tuas South,0,0.0,0
2016,30,Marina Barrage,34,33.5,33
2016,31,Changi,38,35.0,32
2016,31,Ang Mo Kio,41,37.0,33
2016,31,Khatib,33,30.5,28
2016,31,Tuas South,4,2.0,0
2016,31,Marina Barrage,34,29.0,24
2016,32,Changi,25,24.5,24
2016,32,Ang Mo Kio,38,38.0,38
2016,32,Khatib,22,19.5,17
2016,32,Tuas South,7,7.0,7
2016,32,Marina Barrage,26,26.0,26
2016,33,Changi,39,37.0,35
2016,33,Ang Mo Kio,35,32.0,29
2016,33,Khatib,19,18.5,18
2016,33,Tuas South,2,1.0,0
2016,33,Marina Barrage,34,27.0,20
2016,34,Changi,39,37.5,36
2016,34,Ang Mo Kio,49,43.0,37
2016,34,Khatib,20,19.5,19
2016,34,Tuas South,9,6.5,4
2016,34,Marina Barrage,49,41.5,34
2016,35,Changi,39,35.5,32
2016,35,Ang Mo Kio,51,44.0,37
2016,35,Khatib,33,26.5,20
2016,35,Tuas South,13,10.0,7
2016,35,Marina Barrage,40,39.0,38
2016,36,Changi,38,32.5,27
2016,36,Ang Mo Kio,42,41.5,41
2016,36,Khatib,31,28.0,25
2016,36,Tuas South,13,10.5,8
2016,36,Marina Barrage,57,50.0,43
2016,37,Changi,31,27.0,23
